whisper_model_load: loading model from '/Users/owehrens/Source/Github/whisper.cpp//models/ggml-tiny.bin'
whisper_model_load: n_vocab       = 51865
[00:08:51.240 --> 00:08:55.240]   Denn einoutput_txt: saving output to 'audio.wav-3-tiny.txt'
output_vtt: saving output to 'audio.wav-3-tiny.vtt'
output_srt: saving output to 'audio.wav-3-tiny.srt'

whisper_print_timings:     load time =    64.73 ms
whisper_print_timings:      mel time =  1726.91 ms
whisper_print_timings:   sample time =   402.42 ms
whisper_print_timings:   encode time =  5060.94 ms / 1265.23 ms per layer
whisper_print_timings:   decode time =  8898.33 ms / 2224.58 ms per layer
whisper_print_timings:    total time = 16164.11 ms
 Privat ist unternehmen sammelt Audio- und Video-Botschaften,
[00:08:55.240 --> 00:08:58.240]   die demnächst auf einer Festplatte zusammen mit einem Parfand Maradona's Fußball-Schulen
[00:08:58.240 --> 00:09:01.240]   mit einem Sateliten ins Allgeschickt werden sollen.
[00:09:01.240 --> 00:09:03.240]   Der Satelite ist kosmischer Drache.
[00:09:03.240 --> 00:09:07.240]   Das ist eine Anspielung auf einen Fernsehkommenthaus, die Mianon z.B.
[00:09:07.240 --> 00:09:12.240]   Maradona hat gerade einen spektakuläres, ein wunderschönes Tor im Viertel-Finale
[00:09:12.240 --> 00:09:14.240]   der Weltmeisterschaft gegen England geschossen.
[00:09:14.240 --> 00:09:19.240]   Es wurde später zum Tor des Jahrhunderts gewählt und Argentinien wurde am Ende Weltmeister.
[00:09:19.240 --> 00:09:23.240]   Der Reporter im Fernsehen ist damals auf typisch Südamerikanische Weise ausgerastet.
[00:09:23.240 --> 00:09:28.240]   Hat Maradona einen kosmischen Drachen genannt und ihn gefragt von welchem Planeten erkomme.
[00:09:28.240 --> 00:09:32.240]   Jetzt wäre er die Frage, ob Maradona auch dort hinzurucke kärt ist.
[00:09:32.240 --> 00:09:38.240]   Das war das Update von was jetzt am Montagnamidag morgen früh.
[00:09:38.240 --> 00:09:41.240]   Sprich dir Konzanzer kein super deutsche Panzer für die Ukraine.
[00:09:41.240 --> 00:09:45.240]   Und warum der viel diskutierte Ringtoursch mit unseren östlichen EU nach Bannen
[00:09:45.240 --> 00:09:47.240]   nur so schleppend voran kommt.
[00:09:47.240 --> 00:09:50.240]   Ich heiße Moses Fendel, danke fürs Zuhören und Tschüss.
[00:09:50.240 --> 00:09:55.240]   * Musik *
[00:09:55.240 --> 00:10:00.240]   * Musik *

