whisper_model_load: loading model from '/Users/owehrens/Source/Github/whisper.cpp//models/ggml-tiny.bin'
whisper_model_load: n_vocab       = 51865
[00:08:47.000 --> 00:08:50.000]   Wer Maradona noch was mit auf die Reise geben will,
[00:08:50.000 --> 00:08:52.000]   kann das seit dem Wochenende machen.
[00:08:52.000 --> 00:08:55.000]   Denn ein Privatisunternehmen sammelt Audio- und Video-Botschaften,
[00:08:55.000 --> 00:08:59.000]   die demnächst auf einer Festplatte zusammen mit einem Parfand Maradona's Fußball-Schulen
[00:08:59.000 --> 00:09:01.000]   mit einem Sateliten ins Allgeschickt werden sollen.
[00:09:01.000 --> 00:09:03.000]   Der Sateliteist kosmischer Drache.
[00:09:03.000 --> 00:09:07.000]   Das ist eine Anspielung auf einen Fernsehkoutput_txt: saving output to 'audio.wav-5-tiny.txt'
output_vtt: saving output to 'audio.wav-5-tiny.vtt'
output_srt: saving output to 'audio.wav-5-tiny.srt'

whisper_print_timings:     load time =    67.04 ms
whisper_print_timings:      mel time =  1035.46 ms
whisper_print_timings:   sample time =   379.99 ms
whisper_print_timings:   encode time =  3856.73 ms / 964.18 ms per layer
whisper_print_timings:   decode time =  8925.65 ms / 2231.41 ms per layer
whisper_print_timings:    total time = 14275.51 ms
ommentar aus dem Jahr 1986.
[00:09:07.000 --> 00:09:13.000]   Maradona hat gerade ein Spektakuläres ein wunderschönes Tor im Viertel-Finale der Weltmeisterschaft
[00:09:13.000 --> 00:09:14.000]   gegen England geschossen.
[00:09:14.000 --> 00:09:19.000]   Es wurde später zum Tor des Jahrhunderts gewählt und Argentinien wurde am Ende Weltmeister.
[00:09:19.000 --> 00:09:24.000]   Der Reporter im Fernsehen ist damals auf typisch Südamerikanische Weise ausgerastet.
[00:09:24.000 --> 00:09:29.000]   Hat Maradona einen kosmischen Drachen genannt und ihn gefragt von welchem Planeten erkomme.
[00:09:29.000 --> 00:09:33.000]   Jetzt wäre er die Frage, ob Maradona auch dort hinzuruke, kärt ist.
[00:09:35.000 --> 00:09:38.000]   Das war das Update von was jetzt am Montagnamidag morgen früh,
[00:09:38.000 --> 00:09:41.000]   sprich dir Konzanzer kein super deutsche Panzer für die Ukraine
[00:09:41.000 --> 00:09:45.000]   und warum der viel diskutierte Ringtausch mit unseren östlichen EU nach Bann
[00:09:45.000 --> 00:09:47.000]   nur so schleppend voran kommt.
[00:09:47.000 --> 00:09:50.000]   Ich heiße Moses Fendel, danke fürs Zuhören und Tschüss.
[00:09:50.000 --> 00:09:55.000]   * Musik *
[00:09:55.000 --> 00:10:00.000]   * Musik *

